LGA_CODE11,LGA_NAME11,STE_CODE11,STE_NAME11,AREA_SQKM
10050,Albury (C),1,New South Wales,305.930832286464010
10110,Armidale Dumaresq (A),1,New South Wales,4230.834877894380043
10150,Ashfield (A),1,New South Wales,8.281188156763649
10200,Auburn (C),1,New South Wales,32.476918749757900
10250,Ballina (A),1,New South Wales,484.716360572215990
10300,Balranald (A),1,New South Wales,21693.124540662600339
10350,Bankstown (C),1,New South Wales,76.800127506270300
10470,Bathurst Regional (A),1,New South Wales,3816.432000245069958
10550,Bega Valley (A),1,New South Wales,6278.955524835329925
10600,Bellingen (A),1,New South Wales,1600.376190829910001
10650,Berrigan (A),1,New South Wales,2065.926974507489831
10750,Blacktown (C),1,New South Wales,240.104983313580988
10800,Bland (A),1,New South Wales,8557.708233785830089
10850,Blayney (A),1,New South Wales,1524.882618333700066
10900,Blue Mountains (C),1,New South Wales,1431.145182955980090
10950,Bogan (A),1,New South Wales,14600.483418330000859
11000,Bombala (A),1,New South Wales,3946.570712872869990
11050,Boorowa (A),1,New South Wales,2577.974661251660109
11100,Botany Bay (C),1,New South Wales,21.686750780243901
11150,Bourke (A),1,New South Wales,41604.452715849896776
11200,Brewarrina (A),1,New South Wales,19165.181585913498566
11250,Broken Hill (C),1,New South Wales,170.294490017109013
11300,Burwood (A),1,New South Wales,7.128170441073200
11350,Byron (A),1,New South Wales,565.847007825531023
11400,Cabonne (A),1,New South Wales,6023.929012734780372
11450,Camden (A),1,New South Wales,201.263342639674988
11500,Campbelltown (C),1,New South Wales,312.139842357848977
11520,Canada Bay (A),1,New South Wales,19.893373895443801
11550,Canterbury (C),1,New South Wales,33.563875912497998
11600,Carrathool (A),1,New South Wales,18932.501240080600837
11700,Central Darling (A),1,New South Wales,53493.806054899498122
11720,Cessnock (C),1,New South Wales,1965.406698557060054
11730,Clarence Valley (A),1,New South Wales,10428.773432906900780
11750,Cobar (A),1,New South Wales,45571.014101889202720
11800,Coffs Harbour (C),1,New South Wales,1173.738148498470082
11860,Conargo (A),1,New South Wales,8737.940693302520231
12000,Coolamon (A),1,New South Wales,2430.928653236760056
12050,Cooma-Monaro (A),1,New South Wales,5184.543294330340359
12150,Coonamble (A),1,New South Wales,9915.850838625410688
12200,Cootamundra (A),1,New South Wales,1523.752457907130065
12300,Corowa Shire (A),1,New South Wales,2329.251999764439915
12350,Cowra (A),1,New South Wales,2808.673338834109927
12500,Deniliquin (A),1,New South Wales,143.187614564453014
12600,Dubbo (C),1,New South Wales,3425.680812362740198
12700,Dungog (A),1,New South Wales,2250.017335626740078
12750,Eurobodalla (A),1,New South Wales,3428.170888056939930
12850,Fairfield (C),1,New South Wales,101.521929522552995
12900,Forbes (A),1,New South Wales,4718.074340323370052
12950,Gilgandra (A),1,New South Wales,4832.008253448630057
13010,Glen Innes Severn (A),1,New South Wales,5480.358517487209610
13050,Gloucester (A),1,New South Wales,2950.167852763700012
13100,Gosford (C),1,New South Wales,941.059120808930970
13310,Goulburn Mulwaree (A),1,New South Wales,3220.007902813209967
13320,Great Lakes (A),1,New South Wales,3373.327891279130199
13340,Greater Hume Shire (A),1,New South Wales,5749.283666653080218
13380,Greater Taree (C),1,New South Wales,3729.048304577439922
13450,Griffith (C),1,New South Wales,1639.941376385620060
13500,Gundagai (A),1,New South Wales,2457.136847927989947
13550,Gunnedah (A),1,New South Wales,4987.409095802629963
13650,Guyra (A),1,New South Wales,4389.547991153170187
13660,Gwydir (A),1,New South Wales,9262.361820589459967
13700,Harden (A),1,New South Wales,1868.245664932549971
13800,Hawkesbury (C),1,New South Wales,2774.640909583129996
13850,Hay (A),1,New South Wales,11326.016487988099470
13950,Holroyd (C),1,New South Wales,40.181383864628302
14000,Hornsby (A),1,New South Wales,462.107371023102985
14100,Hunters Hill (A),1,New South Wales,5.717060622439890
14150,Hurstville (C),1,New South Wales,22.724147568509800
14200,Inverell (A),1,New South Wales,8594.940198606829654
14250,Jerilderie (A),1,New South Wales,3373.054247461469913
14300,Junee (A),1,New South Wales,2029.997472920839982
14350,Kempsey (A),1,New South Wales,3375.670001139329997
14400,Kiama (A),1,New South Wales,257.742670956144991
14450,Kogarah (C),1,New South Wales,15.547898827678999
14500,Ku-ring-gai (A),1,New South Wales,85.397638374817902
14550,Kyogle (A),1,New South Wales,3584.019250513360021
14600,Lachlan (A),1,New South Wales,14965.409274170000572
14650,Lake Macquarie (C),1,New South Wales,647.986797410030022
14700,Lane Cove (A),1,New South Wales,10.479547237619199
14750,Leeton (A),1,New South Wales,1166.947261300990021
14800,Leichhardt (A),1,New South Wales,10.549847699894499
14850,Lismore (C),1,New South Wales,1287.791593370300006
14870,Lithgow (C),1,New South Wales,4511.846824426140302
14900,Liverpool (C),1,New South Wales,305.431139380298021
14920,Liverpool Plains (A),1,New South Wales,5082.313959898669964
14950,Lockhart (A),1,New South Wales,2895.851673631329959
15050,Maitland (C),1,New South Wales,391.517025892881009
15150,Manly (A),1,New South Wales,14.355151517289601
15200,Marrickville (A),1,New South Wales,16.519630565020400
15270,Mid-Western Regional (A),1,New South Wales,8752.785290625279231
15300,Moree Plains (A),1,New South Wales,17905.950233875799313
15350,Mosman (A),1,New South Wales,8.650994190245310
15500,Murray (A),1,New South Wales,4344.452958593060430
15550,Murrumbidgee (A),1,New South Wales,3506.684707509530199
15650,Muswellbrook (A),1,New South Wales,3404.994255749199965
15700,Nambucca (A),1,New South Wales,1491.349333405009929
15750,Narrabri (A),1,New South Wales,13014.071819216400399
15800,Narrandera (A),1,New South Wales,4116.235867839760431
15850,Narromine (A),1,New South Wales,5260.387435475539860
15900,Newcastle (C),1,New South Wales,186.772527471849003
15950,North Sydney (A),1,New South Wales,10.472572084529400
16100,Oberon (A),1,New South Wales,3626.883097184399958
16150,Orange (C),1,New South Wales,283.937751547091011
16180,Palerang (A),1,New South Wales,5146.792429046209691
16200,Parkes (A),1,New South Wales,5954.919435403309762
16250,Parramatta (C),1,New South Wales,61.356489387332999
16350,Penrith (C),1,New South Wales,404.631442806055020
16370,Pittwater (A),1,New South Wales,90.328419479287604
16380,Port Macquarie-Hastings (A),1,New South Wales,3683.015311638630010
16400,Port Stephens (A),1,New South Wales,858.473191340240987
16470,Queanbeyan (C),1,New South Wales,172.361303808603992
16550,Randwick (C),1,New South Wales,36.330700853919602
16610,Richmond Valley (A),1,New South Wales,3047.387406620120146
16650,Rockdale (C),1,New South Wales,28.219281701530800
16700,Ryde (C),1,New South Wales,40.472932922109102
16900,Shellharbour (C),1,New South Wales,147.360151870196006
16950,Shoalhaven (C),1,New South Wales,4567.022582532699744
17000,Singleton (A),1,New South Wales,4892.830140730569838
17050,Snowy River (A),1,New South Wales,6030.379554829170047
17100,Strathfield (A),1,New South Wales,13.899627817096500
17150,Sutherland Shire (A),1,New South Wales,333.578901557359018
17200,Sydney (C),1,New South Wales,26.725647909741902
17310,Tamworth Regional (A),1,New South Wales,9884.217140761340488
17350,Temora (A),1,New South Wales,2802.015633722900020
17400,Tenterfield (A),1,New South Wales,7322.274486490930030
17420,The Hills Shire (A),1,New South Wales,400.450126347928972
17450,Tumbarumba (A),1,New South Wales,4392.457477339649813
17500,Tumut Shire (A),1,New South Wales,4566.627791394250380
17550,Tweed (A),1,New South Wales,1307.442313298809950
17620,Upper Hunter Shire (A),1,New South Wales,8096.061345417970188
17640,Upper Lachlan Shire (A),1,New South Wales,7127.461466963110070
17650,Uralla (A),1,New South Wales,3226.464494293390089
17700,Urana (A),1,New South Wales,3356.001400754820224
17750,Wagga Wagga (C),1,New South Wales,4825.873242407269572
17800,Wakool (A),1,New South Wales,7520.471901959669594
17850,Walcha (A),1,New South Wales,6261.292191320720121
17900,Walgett (A),1,New South Wales,22308.457800054700783
17950,Warren (A),1,New South Wales,10753.819388341300510
18000,Warringah (A),1,New South Wales,149.353223088930008
18020,Warrumbungle Shire (A),1,New South Wales,12371.081257899000775
18050,Waverley (A),1,New South Wales,9.242957054116570
18100,Weddin (A),1,New South Wales,3408.550762713150107
18150,Wellington (A),1,New South Wales,4110.088480718890423
18200,Wentworth (A),1,New South Wales,26256.730326128501474
18250,Willoughby (C),1,New South Wales,22.429324779365398
18350,Wingecarribee (A),1,New South Wales,2688.392833335260093
18400,Wollondilly (A),1,New South Wales,2555.926863890179902
18450,Wollongong (C),1,New South Wales,683.941131055652022
18500,Woollahra (A),1,New South Wales,12.274012890288700
18550,Wyong (A),1,New South Wales,739.797486109784018
18710,Yass Valley (A),1,New South Wales,3998.052867159949983
18750,Young (A),1,New South Wales,2692.680754064980192
19399,Unincorporated NSW,1,New South Wales,0.000000000000000
19499,No usual address (NSW),1,New South Wales,0.000000000000000
20110,Alpine (S),2,Victoria,4788.234638128929873
20260,Ararat (RC),2,Victoria,4211.357133258959948
20570,Ballarat (C),2,Victoria,739.029247199291035
20660,Banyule (C),2,Victoria,62.542149227916497
20740,Bass Coast (S),2,Victoria,864.760561386416953
20830,Baw Baw (S),2,Victoria,4031.275381944039964
20910,Bayside (C),2,Victoria,37.210899131829400
21010,Benalla (RC),2,Victoria,2352.640066685420152
21110,Boroondara (C),2,Victoria,60.180855911178497
21180,Brimbank (C),2,Victoria,123.399135048188995
21270,Buloke (S),2,Victoria,8000.402663779170325
21370,Campaspe (S),2,Victoria,4518.856449612500001
21450,Cardinia (S),2,Victoria,1281.678412925730072
21610,Casey (C),2,Victoria,409.417534057128023
21670,Central Goldfields (S),2,Victoria,1532.784828932270102
21750,Colac-Otway (S),2,Victoria,3437.481162205379860
21830,Corangamite (S),2,Victoria,4407.554776594450232
21890,Darebin (C),2,Victoria,53.471078991255503
22110,East Gippsland (S),2,Victoria,20941.489039655200031
22170,Frankston (C),2,Victoria,129.598563439613002
22250,Gannawarra (S),2,Victoria,3735.335090532159938
22310,Glen Eira (C),2,Victoria,38.691389724119702
22410,Glenelg (S),2,Victoria,6218.288711438120117
22490,Golden Plains (S),2,Victoria,2703.429544820170122
22620,Greater Bendigo (C),2,Victoria,2999.978126856240124
22670,Greater Dandenong (C),2,Victoria,129.595590387093011
22750,Greater Geelong (C),2,Victoria,1247.891588459920058
22830,Greater Shepparton (C),2,Victoria,2421.952630843979932
22910,Hepburn (S),2,Victoria,1472.983704104060052
22980,Hindmarsh (S),2,Victoria,7524.182253645630226
23110,Hobsons Bay (C),2,Victoria,64.240779188890102
23190,Horsham (RC),2,Victoria,4267.062117661599586
23270,Hume (C),2,Victoria,503.829308025004991
23350,Indigo (S),2,Victoria,2040.068817911279893
23430,Kingston (C),2,Victoria,91.367309074526602
23670,Knox (C),2,Victoria,113.825540550395999
23810,Latrobe (C),2,Victoria,1425.759979705150045
23940,Loddon (S),2,Victoria,6696.439252331530042
24130,Macedon Ranges (S),2,Victoria,1748.276380021700106
24210,Manningham (C),2,Victoria,113.348370343168995
24250,Mansfield (S),2,Victoria,3843.922788026330181
24330,Maribyrnong (C),2,Victoria,31.226812780815500
24410,Maroondah (C),2,Victoria,61.411318782062501
24600,Melbourne (C),2,Victoria,37.355660671136199
24650,Melton (S),2,Victoria,527.557228747481986
24780,Mildura (RC),2,Victoria,22082.483284812598868
24850,Mitchell (S),2,Victoria,2862.430570951240043
24900,Moira (S),2,Victoria,4046.553450851450179
24970,Monash (C),2,Victoria,81.497311715738206
25060,Moonee Valley (C),2,Victoria,43.142162032593198
25150,Moorabool (S),2,Victoria,2110.620527157399920
25250,Moreland (C),2,Victoria,50.949262824818597
25340,Mornington Peninsula (S),2,Victoria,724.066770874763961
25430,Mount Alexander (S),2,Victoria,1529.618356713400090
25490,Moyne (S),2,Victoria,5481.745110180059783
25620,Murrindindi (S),2,Victoria,3879.400611590249810
25710,Nillumbik (S),2,Victoria,432.337228262160977
25810,Northern Grampians (S),2,Victoria,5727.999277932550285
25900,Port Phillip (C),2,Victoria,20.704830320379500
25990,Pyrenees (S),2,Victoria,3434.569619353570033
26080,Queenscliffe (B),2,Victoria,8.618349075043200
26170,South Gippsland (S),2,Victoria,3297.354020341580053
26260,Southern Grampians (S),2,Victoria,6655.425303148909734
26350,Stonnington (C),2,Victoria,25.648810984646499
26430,Strathbogie (S),2,Victoria,3303.257174194940035
26490,Surf Coast (S),2,Victoria,1552.935300709049898
26610,Swan Hill (RC),2,Victoria,6115.308753429319950
26670,Towong (S),2,Victoria,6674.946529054709572
26700,Wangaratta (RC),2,Victoria,3644.836159236129788
26730,Warrnambool (C),2,Victoria,120.852403839071002
26810,Wellington (S),2,Victoria,10817.368080726799235
26890,West Wimmera (S),2,Victoria,9108.389620260049924
26980,Whitehorse (C),2,Victoria,64.278888685188704
27070,Whittlesea (C),2,Victoria,489.706288749125008
27170,Wodonga (RC),2,Victoria,432.688703520112028
27260,Wyndham (C),2,Victoria,542.093998090540026
27350,Yarra (C),2,Victoria,19.541428156824701
27450,Yarra Ranges (S),2,Victoria,2465.741262459459904
27630,Yarriambiack (S),2,Victoria,7325.796691542120243
29399,Unincorporated Vic,2,Victoria,0.000000000000000
29499,No usual address (Vic.),2,Victoria,0.000000000000000
30250,Aurukun (S),3,Queensland,7347.207709041829730
30300,Balonne (S),3,Queensland,31106.183678467499703
30370,Banana (S),3,Queensland,28546.307672951301356
30410,Barcaldine (R),3,Queensland,53520.672954201996617
30450,Barcoo (S),3,Queensland,61825.009170964796795
30760,Blackall Tambo (R),3,Queensland,30389.058544641400658
30900,Boulia (S),3,Queensland,60955.813286580501881
31000,Brisbane (C),3,Queensland,1338.093552035240009
31750,Bulloo (S),3,Queensland,73762.801848983304808
31820,Bundaberg (R),3,Queensland,6435.643149643489778
31900,Burdekin (S),3,Queensland,5043.421970896570201
31950,Burke (S),3,Queensland,40039.208875627198722
32070,Cairns (R),3,Queensland,4115.110377450359920
32250,Carpentaria (S),3,Queensland,64124.895898138398479
32260,Cassowary Coast (R),3,Queensland,4684.991294208860381
32270,Central Highlands (R),3,Queensland,59834.887749307701597
32310,Charters Towers (R),3,Queensland,68373.551326243206859
32330,Cherbourg (S),3,Queensland,31.599073260127000
32450,Cloncurry (S),3,Queensland,47983.129414892100613
32500,Cook (S),3,Queensland,105781.458608246000949
32600,Croydon (S),3,Queensland,29487.096541219998471
32750,Diamantina (S),3,Queensland,94666.851148943896987
32770,Doomadgee (S),3,Queensland,1835.156209626610007
33100,Etheridge (S),3,Queensland,39201.015897868397587
33200,Flinders (S),3,Queensland,41192.665015456797846
33220,Fraser Coast (R),3,Queensland,7102.501877031009826
33360,Gladstone (R),3,Queensland,10465.790765987700070
33430,Gold Coast (C),3,Queensland,1331.681788824140085
33610,Goondiwindi (R),3,Queensland,19255.487206029898516
33620,Gympie (R),3,Queensland,6884.544681395609587
33800,Hinchinbrook (S),3,Queensland,2801.347131165920018
33830,Hope Vale (S),3,Queensland,1104.748774237589942
33960,Ipswich (C),3,Queensland,1088.490007719010009
33980,Isaac (R),3,Queensland,58719.835400695301360
34420,Kowanyama (S),3,Queensland,2543.172078928940209
34570,Lockhart River (S),3,Queensland,3578.058408416280145
34580,Lockyer Valley (R),3,Queensland,2268.742215732040222
34590,Logan (C),3,Queensland,958.096592048966045
34710,Longreach (R),3,Queensland,40571.705672898497141
34770,Mackay (R),3,Queensland,7601.197396501420371
34800,McKinlay (S),3,Queensland,40733.709470482797769
34830,Mapoon (S),3,Queensland,547.986438376238993
34860,Maranoa (R),3,Queensland,58711.362126537402219
35010,Moreton Bay (R),3,Queensland,2033.304765509109984
35250,Mornington (S),3,Queensland,1244.209901682249892
35300,Mount Isa (C),3,Queensland,43188.040750947096967
35600,Murweh (S),3,Queensland,40698.490341411503323
35670,Napranum (S),3,Queensland,1997.914612986930024
35760,North Burnett (R),3,Queensland,19666.769346159500856
35780,Northern Peninsula Area (R),3,Queensland,1056.914093789350090
35790,Palm Island (S),3,Queensland,70.633621752135596
35800,Paroo (S),3,Queensland,47616.406804720201762
36070,Pormpuraaw (S),3,Queensland,4428.836991852400388
36150,Quilpie (S),3,Queensland,67423.310838969002361
36250,Redland (C),3,Queensland,536.246369960599964
36300,Richmond (S),3,Queensland,26580.223025423598301
36360,Rockhampton (R),3,Queensland,18311.741357709099248
36510,Scenic Rim (R),3,Queensland,4248.073361080019822
36580,Somerset (R),3,Queensland,5373.279596873710034
36630,South Burnett (R),3,Queensland,8381.697961899000802
36660,Southern Downs (R),3,Queensland,7111.723336847680002
36710,Sunshine Coast (R),3,Queensland,3120.707368182359914
36810,Tablelands (R),3,Queensland,64793.812438013301289
