Name,Suburb,School Level
ADAM ROAD PRIMARY SCHOOL,SOUTH BUNBURY,PRIMARY SCHOOLS
AL-HIDAYAH ISLAMIC SCHOOL,BENTLEY,NON-GOVERNMENT
ALBANY COMMUNITY KINDERGARTEN,ALBANY,COMMUNITY KINDERGARTENS
ALBANY PRIMARY SCHOOL,ALBANY,PRIMARY SCHOOLS
ALBANY SECONDARY EDUCATION SUPPORT CENTRE,ALBANY,EDUCATION SUPPORT
ALBANY SENIOR HIGH SCHOOL,ALBANY,SECONDARY SCHOOLS
ALINJARRA PRIMARY SCHOOL,ALEXANDER HEIGHTS,PRIMARY SCHOOLS
ALKIMOS BAPTIST COLLEGE,MERRIWA,NON-GOVERNMENT
ALKIMOS BEACH PRIMARY SCHOOL,ALKIMOS,PRIMARY SCHOOLS
ALKIMOS PRIMARY SCHOOL,ALKIMOS,PRIMARY SCHOOLS
ALL SAINTS' COLLEGE,BULL CREEK,NON-GOVERNMENT
ALLANSON PRIMARY SCHOOL,ALLANSON,PRIMARY SCHOOLS
ALLENDALE PRIMARY SCHOOL,GERALDTON,PRIMARY SCHOOLS
ALTA-1,WANGARA,NON-GOVERNMENT
AMAROO PRIMARY SCHOOL,COLLIE,PRIMARY SCHOOLS
ANNE HAMERSLEY PRIMARY SCHOOL,ELLENBROOK,PRIMARY SCHOOLS
ANZAC TERRACE PRIMARY SCHOOL,BASSENDEAN,PRIMARY SCHOOLS
APPLECROSS PRIMARY SCHOOL,APPLECROSS,PRIMARY SCHOOLS
APPLECROSS SENIOR HIGH SCHOOL,ARDROSS,SECONDARY SCHOOLS
AQUINAS COLLEGE,SALTER POINT,NON-GOVERNMENT
ARANMORE CATHOLIC COLLEGE,LEEDERVILLE,NON-GOVERNMENT
ARANMORE CATHOLIC PRIMARY SCHOOL,LEEDERVILLE,NON-GOVERNMENT
ARBOR GROVE PRIMARY SCHOOL,ELLENBROOK,PRIMARY SCHOOLS
ARDROSS PRIMARY SCHOOL,ARDROSS,PRIMARY SCHOOLS
ARMADALE EDUCATION SUPPORT CENTRE,ARMADALE,EDUCATION SUPPORT
ARMADALE PRIMARY SCHOOL,ARMADALE,PRIMARY SCHOOLS
ARMADALE SENIOR HIGH SCHOOL,ARMADALE,SECONDARY SCHOOLS
ASHBURTON DRIVE PRIMARY SCHOOL,GOSNELLS,PRIMARY SCHOOLS
ASHDALE PRIMARY SCHOOL,DARCH,PRIMARY SCHOOLS
ASHDALE SECONDARY COLLEGE,DARCH,SECONDARY SCHOOLS
ASHFIELD PRIMARY SCHOOL,ASHFIELD,PRIMARY SCHOOLS
ASPIRI PRIMARY SCHOOL,PIARA WATERS,PRIMARY SCHOOLS
ASSUMPTION CATHOLIC PRIMARY SCHOOL,MANDURAH,NON-GOVERNMENT
ATLANTIS BEACH BAPTIST COLLEGE,TWO ROCKS,NON-GOVERNMENT
ATTADALE PRIMARY SCHOOL,ATTADALE,PRIMARY SCHOOLS
ATWELL COLLEGE,ATWELL,SECONDARY SCHOOLS
ATWELL PRIMARY SCHOOL,ATWELL,PRIMARY SCHOOLS
AUBIN GROVE PRIMARY SCHOOL,AUBIN GROVE,PRIMARY SCHOOLS
AUGUSTA PRIMARY SCHOOL,AUGUSTA,PRIMARY SCHOOLS
AUSTIN COVE BAPTIST COLLEGE,SOUTH YUNDERUP,NON-GOVERNMENT
AUSTRALIAN CHRISTIAN COLLEGE - DARLING DOWNS,HILBERT,NON-GOVERNMENT
AUSTRALIAN CHRISTIAN COLLEGE - SOUTHLANDS,ALBANY,NON-GOVERNMENT
AUSTRALIAN ISLAMIC COLLEGE - KEWDALE,KEWDALE,NON-GOVERNMENT
AUSTRALIAN ISLAMIC COLLEGE - NORTH OF THE RIVER,DIANELLA,NON-GOVERNMENT
AUSTRALIAN ISLAMIC COLLEGE - PERTH,THORNLIE,NON-GOVERNMENT
AUSTRALIND PRIMARY SCHOOL,AUSTRALIND,PRIMARY SCHOOLS
AUSTRALIND SENIOR HIGH SCHOOL,AUSTRALIND,SECONDARY SCHOOLS
AVELEY NORTH PRIMARY SCHOOL,AVELEY,PRIMARY SCHOOLS
AVELEY PRIMARY SCHOOL,AVELEY,PRIMARY SCHOOLS
AVELEY SECONDARY COLLEGE,ELLENBROOK,SECONDARY SCHOOLS
AVONVALE EDUCATION SUPPORT CENTRE,NORTHAM,EDUCATION SUPPORT
AVONVALE PRIMARY SCHOOL,NORTHAM,PRIMARY SCHOOLS
BABAKIN PRIMARY SCHOOL,BABAKIN,PRIMARY SCHOOLS
BADGINGARRA PRIMARY SCHOOL,BADGINGARRA,PRIMARY SCHOOLS
BAKERS HILL PRIMARY SCHOOL,BAKERS HILL,PRIMARY SCHOOLS
BALCATTA PRIMARY SCHOOL,BALCATTA,PRIMARY SCHOOLS
BALCATTA SENIOR HIGH SCHOOL,BALCATTA,SECONDARY SCHOOLS
BALDIVIS GARDENS PRIMARY SCHOOL,BALDIVIS,PRIMARY SCHOOLS
BALDIVIS PRIMARY SCHOOL,BALDIVIS,PRIMARY SCHOOLS
BALDIVIS SECONDARY COLLEGE,BALDIVIS,SECONDARY SCHOOLS
BALER PRIMARY SCHOOL,SOUTH HEDLAND,PRIMARY SCHOOLS
BALGA PRIMARY SCHOOL,BALGA,PRIMARY SCHOOLS
BALGA SENIOR HIGH SCHOOL,BALGA,SECONDARY SCHOOLS
BALINGUP PRIMARY SCHOOL,BALINGUP,PRIMARY SCHOOLS
BALLAJURA COMMUNITY COLLEGE,BALLAJURA,SECONDARY SCHOOLS
BALLAJURA PRIMARY SCHOOL,BALLAJURA,PRIMARY SCHOOLS
BAMBARA PRIMARY SCHOOL,PADBURY,PRIMARY SCHOOLS
BANKSIA GROVE PRIMARY SCHOOL,BANKSIA GROVE,PRIMARY SCHOOLS
BANKSIA MONTESSORI SCHOOL,DIANELLA,NON-GOVERNMENT
BANKSIA PARK PRIMARY SCHOOL,LEEMING,PRIMARY SCHOOLS
BANNISTER CREEK PRIMARY SCHOOL,LYNWOOD,PRIMARY SCHOOLS
BASSENDEAN PRIMARY SCHOOL,BASSENDEAN,PRIMARY SCHOOLS
BATEMAN PRIMARY SCHOOL,BATEMAN,PRIMARY SCHOOLS
BAYNTON WEST PRIMARY SCHOOL,BAYNTON,PRIMARY SCHOOLS
BAYSWATER PRIMARY SCHOOL,BAYSWATER,PRIMARY SCHOOLS
BAYULU REMOTE COMMUNITY SCHOOL,VIA FITZROY CROSSING,PRIMARY SCHOOLS
BEACHLANDS PRIMARY SCHOOL,GERALDTON,PRIMARY SCHOOLS
BEACON PRIMARY SCHOOL,BEACON,PRIMARY SCHOOLS
BEACONSFIELD PRIMARY SCHOOL,BEACONSFIELD,PRIMARY SCHOOLS
BEAUMARIS PRIMARY SCHOOL,OCEAN REEF,PRIMARY SCHOOLS
BECKENHAM PRIMARY SCHOOL,BECKENHAM,PRIMARY SCHOOLS
BEECHBORO CHRISTIAN SCHOOL,BEECHBORO,NON-GOVERNMENT
BEECHBORO PRIMARY SCHOOL,BEECHBORO,PRIMARY SCHOOLS
BEELIAR PRIMARY SCHOOL,BEELIAR,PRIMARY SCHOOLS
BELDON EDUCATION SUPPORT CENTRE,BELDON,EDUCATION SUPPORT
BELDON PRIMARY SCHOOL,BELDON,PRIMARY SCHOOLS
BELMAY PRIMARY SCHOOL,CLOVERDALE,PRIMARY SCHOOLS
BELMONT CITY COLLEGE,BELMONT,SECONDARY SCHOOLS
BELMONT PRIMARY SCHOOL,BELMONT,PRIMARY SCHOOLS
BELRIDGE SECONDARY COLLEGE,BELDON,SECONDARY SCHOOLS
BELRIDGE SECONDARY EDUCATION SUPPORT CENTRE,BELDON,EDUCATION SUPPORT
BENCUBBIN PRIMARY SCHOOL,BENCUBBIN,PRIMARY SCHOOLS
BENTLEY PRIMARY SCHOOL,BENTLEY,PRIMARY SCHOOLS
BERTRAM PRIMARY SCHOOL,BERTRAM,PRIMARY SCHOOLS
BETHEL CHRISTIAN SCHOOL,ALBANY,NON-GOVERNMENT
BEVERLEY DISTRICT HIGH SCHOOL,BEVERLEY,DISTRICT HIGH SCHOOLS
BIBLE BAPTIST CHRISTIAN ACADEMY,MOUNT HELENA,NON-GOVERNMENT
BIBRA LAKE PRIMARY SCHOOL,BIBRA LAKE,PRIMARY SCHOOLS
BICTON PRIMARY SCHOOL,BICTON,PRIMARY SCHOOLS
BINDOON PRIMARY SCHOOL,BINDOON,PRIMARY SCHOOLS
BINNU PRIMARY SCHOOL,BINNU,PRIMARY SCHOOLS
BIRLIRR NGAWIYIWU CATHOLIC SCHOOL - YARUMAN,VIA HALLS CREEK,NON-GOVERNMENT
BLETCHLEY PARK PRIMARY SCHOOL,SOUTHERN RIVER,PRIMARY SCHOOLS
BLUE GUM MONTESSORI SCHOOL INC,BIBRA LAKE,NON-GOVERNMENT
BLUFF POINT PRIMARY SCHOOL,BLUFF POINT,PRIMARY SCHOOLS
BODDINGTON DISTRICT HIGH SCHOOL,BODDINGTON,DISTRICT HIGH SCHOOLS
BOLD PARK COMMUNITY SCHOOL,WEMBLEY,NON-GOVERNMENT
BOLGART PRIMARY SCHOOL,BOLGART,PRIMARY SCHOOLS
BOORAGOON PRIMARY SCHOOL,BOORAGOON,PRIMARY SCHOOLS
BORDEN PRIMARY SCHOOL,BORDEN,PRIMARY SCHOOLS
BOULDER PRIMARY SCHOOL,BOULDER,PRIMARY SCHOOLS
BOYANUP PRIMARY SCHOOL,BOYANUP,PRIMARY SCHOOLS
BOYARE PRIMARY SCHOOL,MIRRABOOKA,PRIMARY SCHOOLS
BOYUP BROOK DISTRICT HIGH SCHOOL,BOYUP BROOK,DISTRICT HIGH SCHOOLS
BRAESIDE PRIMARY SCHOOL,KATANNING,PRIMARY SCHOOLS
BRAMFIELD PARK PRIMARY SCHOOL,MADDINGTON,PRIMARY SCHOOLS
BREMER BAY PRIMARY SCHOOL,BREMER BAY,PRIMARY SCHOOLS
BRENTWOOD PRIMARY SCHOOL,BRENTWOOD,PRIMARY SCHOOLS
BRIDGETOWN HIGH SCHOOL,BRIDGETOWN,SECONDARY SCHOOLS
BRIDGETOWN PRIMARY SCHOOL,BRIDGETOWN,PRIMARY SCHOOLS
BRIGHTON CATHOLIC PRIMARY SCHOOL,BUTLER,NON-GOVERNMENT
BROOKMAN PRIMARY SCHOOL,LANGFORD,PRIMARY SCHOOLS
BROOKTON DISTRICT HIGH SCHOOL,BROOKTON,DISTRICT HIGH SCHOOLS
BROOME NORTH PRIMARY SCHOOL,BROOME,PRIMARY SCHOOLS
BROOME PRIMARY SCHOOL,BROOME,PRIMARY SCHOOLS
BROOME SENIOR HIGH SCHOOL,BROOME,SECONDARY SCHOOLS
BROOMEHILL PRIMARY SCHOOL,BROOMEHILL,PRIMARY SCHOOLS
BRUCE ROCK DISTRICT HIGH SCHOOL,BRUCE ROCK,DISTRICT HIGH SCHOOLS
BRUNSWICK JUNCTION PRIMARY SCHOOL,BRUNSWICK JUNCTION,PRIMARY SCHOOLS
BULL CREEK PRIMARY SCHOOL,BULL CREEK,PRIMARY SCHOOLS
BULLSBROOK COLLEGE,BULLSBROOK,K-12 SCHOOLS
BULLSBROOK COMMUNITY KINDERGARTEN,EAST BULLSBROOK,COMMUNITY KINDERGARTENS
BUNBURY CATHEDRAL GRAMMAR SCHOOL,GELORUP,NON-GOVERNMENT
BUNBURY CATHOLIC COLLEGE,BUNBURY,NON-GOVERNMENT
BUNBURY PRIMARY SCHOOL,BUNBURY,PRIMARY SCHOOLS
BUNBURY REGIONAL COMMUNITY COLLEGE,BUNBURY,NON-GOVERNMENT
BUNBURY SENIOR HIGH SCHOOL,BUNBURY,SECONDARY SCHOOLS
BUNGAREE PRIMARY SCHOOL,ROCKINGHAM,PRIMARY SCHOOLS
BURBRIDGE SCHOOL,KOONDOOLA,EDUCATION SUPPORT
BURRENDAH PRIMARY SCHOOL,WILLETTON,PRIMARY SCHOOLS
BURRINGURRAH REMOTE COMMUNITY SCHOOL,MOUNT JAMES,PRIMARY SCHOOLS
BUSSELTON PRIMARY SCHOOL,BUSSELTON,PRIMARY SCHOOLS
BUSSELTON SENIOR HIGH SCHOOL,BUSSELTON,SECONDARY SCHOOLS
BUTLER COLLEGE,BUTLER,SECONDARY SCHOOLS
BUTLER PRIMARY SCHOOL,BUTLER,PRIMARY SCHOOLS
BYFORD JOHN CALVIN SCHOOL,BYFORD,NON-GOVERNMENT
BYFORD PRIMARY SCHOOL,BYFORD,PRIMARY SCHOOLS
BYFORD SECONDARY COLLEGE,BYFORD,SECONDARY SCHOOLS
CABLE BEACH PRIMARY SCHOOL,BROOME,PRIMARY SCHOOLS
CADOUX PRIMARY SCHOOL,CADOUX,PRIMARY SCHOOLS
CALADENIA PRIMARY SCHOOL,CANNING VALE,PRIMARY SCHOOLS
CALINGIRI PRIMARY SCHOOL,CALINGIRI,PRIMARY SCHOOLS
CALISTA PRIMARY SCHOOL,CALISTA,PRIMARY SCHOOLS
CAMBOON PRIMARY SCHOOL,NORANDA,PRIMARY SCHOOLS
CAMPBELL PRIMARY SCHOOL,CANNING VALE,PRIMARY SCHOOLS
CANNING COLLEGE,BENTLEY,SECONDARY SCHOOLS
CANNING VALE COLLEGE,CANNING VALE,SECONDARY SCHOOLS
CANNING VALE EDUCATION SUPPORT CENTRE,CANNING VALE,EDUCATION SUPPORT
CANNING VALE PRIMARY SCHOOL,CANNING VALE,PRIMARY SCHOOLS
CANNINGTON COMMUNITY COLLEGE,CANNINGTON,DISTRICT HIGH SCHOOLS
CANNINGTON COMMUNITY EDUCATION SUPPORT CENTRE,CANNINGTON,EDUCATION SUPPORT
CAPE NATURALISTE COLLEGE,VASSE,SECONDARY SCHOOLS
CAPEL PRIMARY SCHOOL,CAPEL,PRIMARY SCHOOLS
CARALEE COMMUNITY SCHOOL,WILLAGEE,PRIMARY SCHOOLS
CARCOOLA PRIMARY SCHOOL,PINJARRA,PRIMARY SCHOOLS
CAREY BAPTIST COLLEGE,HARRISDALE,NON-GOVERNMENT
CAREY BAPTIST COLLEGE - FORRESTDALE,FORRESTDALE,NON-GOVERNMENT
CAREY PARK PRIMARY SCHOOL,CAREY PARK,PRIMARY SCHOOLS
CARINE PRIMARY SCHOOL,CARINE,PRIMARY SCHOOLS
CARINE SENIOR HIGH SCHOOL,CARINE,SECONDARY SCHOOLS
CARLISLE PRIMARY SCHOOL,KEWDALE,PRIMARY SCHOOLS
CARMEL ADVENTIST COLLEGE,CARMEL,NON-GOVERNMENT
CARMEL ADVENTIST COLLEGE PRIMARY,BICKLEY,NON-GOVERNMENT
CARMEL SCHOOL,DIANELLA,NON-GOVERNMENT
CARNABY RISE PRIMARY SCHOOL,LANDSDALE,PRIMARY SCHOOLS
CARNAMAH DISTRICT HIGH SCHOOL,CARNAMAH,DISTRICT HIGH SCHOOLS
CARNARVON CHRISTIAN SCHOOL (INC),CARNARVON,NON-GOVERNMENT
CARNARVON COMMUNITY COLLEGE,CARNARVON,K-12 SCHOOLS
CARNARVON SCHOOL OF THE AIR,CARNARVON,PRIMARY SCHOOLS
CARRAMAR PRIMARY SCHOOL,CARRAMAR,PRIMARY SCHOOLS
CARSON STREET SCHOOL,EAST VICTORIA PARK,EDUCATION SUPPORT
CASA MIA MONTESSORI COMMUNITY SCHOOL,BASSENDEAN,NON-GOVERNMENT
CASCADE PRIMARY SCHOOL,CASCADE,PRIMARY SCHOOLS
CASSIA EDUCATION SUPPORT CENTRE,SOUTH HEDLAND,EDUCATION SUPPORT
CASSIA PRIMARY SCHOOL,SOUTH HEDLAND,PRIMARY SCHOOLS
CASTLEREAGH SCHOOL,WILLETTON,EDUCATION SUPPORT
CASTLETOWN PRIMARY SCHOOL,ESPERANCE,PRIMARY SCHOOLS
CAVERSHAM PRIMARY SCHOOL,WEST SWAN,PRIMARY SCHOOLS
CBC FREMANTLE,FREMANTLE,NON-GOVERNMENT
CECIL ANDREWS COLLEGE,ARMADALE,SECONDARY SCHOOLS
CENTRAL MIDLANDS SENIOR HIGH SCHOOL,MOORA,SECONDARY SCHOOLS
CERVANTES PRIMARY SCHOOL,CERVANTES,PRIMARY SCHOOLS
CHALLIS COMMUNITY PRIMARY SCHOOL,ARMADALE,PRIMARY SCHOOLS
CHAPMAN VALLEY PRIMARY SCHOOL,NABAWA,PRIMARY SCHOOLS
CHARTHOUSE PRIMARY SCHOOL,WAIKIKI,PRIMARY SCHOOLS
CHIDLOW PRIMARY SCHOOL,CHIDLOW,PRIMARY SCHOOLS
CHILD SIDE SCHOOL,BOYANUP,NON-GOVERNMENT
CHISHOLM CATHOLIC COLLEGE,BEDFORD,NON-GOVERNMENT
CHRIST CHURCH GRAMMAR SCHOOL,CLAREMONT,NON-GOVERNMENT
CHRIST THE KING CATHOLIC SCHOOL,LOMBADINA,NON-GOVERNMENT
CHRIST THE KING SCHOOL,BEACONSFIELD,NON-GOVERNMENT
CHRISTIAN ABORIGINAL PARENT-DIRECTED SCHOOL,COOLGARDIE,NON-GOVERNMENT
CHRISTIAN ABORIGINAL PARENT-DIRECTED SCHOOL - KURRAWANG,KALGOORLIE,NON-GOVERNMENT
CHRISTMAS ISLAND DISTRICT HIGH SCHOOL,CHRISTMAS ISLAND,DISTRICT HIGH SCHOOLS
CHRYSALIS MONTESSORI SCHOOL,GLENDALOUGH,NON-GOVERNMENT
CHURCHLANDS PRIMARY SCHOOL,FLOREAT,PRIMARY SCHOOLS
CHURCHLANDS SENIOR HIGH SCHOOL,CHURCHLANDS,SECONDARY SCHOOLS
CITY BEACH PRIMARY SCHOOL,CITY BEACH,PRIMARY SCHOOLS
CLARKSON COMMUNITY HIGH SCHOOL,CLARKSON,SECONDARY SCHOOLS
CLARKSON PRIMARY SCHOOL,CLARKSON,PRIMARY SCHOOLS
CLAYTON VIEW PRIMARY SCHOOL,KOONGAMIA,PRIMARY SCHOOLS
CLIFTON HILLS PRIMARY SCHOOL,KELMSCOTT,PRIMARY SCHOOLS
CLIFTON PARK PRIMARY SCHOOL,CLIFTON PARK,PRIMARY SCHOOLS
CLONTARF ABORIGINAL COLLEGE,WATERFORD,NON-GOVERNMENT
CLOVERDALE EDUCATION SUPPORT CENTRE,CLOVERDALE,EDUCATION SUPPORT
CLOVERDALE PRIMARY SCHOOL,CLOVERDALE,PRIMARY SCHOOLS
COCOS ISLANDS DISTRICT HIGH SCHOOL,COCOS ISLAND,DISTRICT HIGH SCHOOLS
COLLEGE ROW SCHOOL,BUNBURY,EDUCATION SUPPORT
COLLIE SENIOR HIGH SCHOOL,COLLIE,SECONDARY SCHOOLS
COLLIER PRIMARY SCHOOL,COMO,PRIMARY SCHOOLS
COMET BAY COLLEGE,SECRET HARBOUR,SECONDARY SCHOOLS
COMET BAY PRIMARY SCHOOL,SECRET HARBOUR,PRIMARY SCHOOLS
COMET CARE SCHOOL,CLARKSON,NON-GOVERNMENT
COMMUNICARE ACADEMY,KENWICK,NON-GOVERNMENT
COMO PRIMARY SCHOOL,COMO,PRIMARY SCHOOLS
COMO SECONDARY COLLEGE,COMO,SECONDARY SCHOOLS
CONDINGUP PRIMARY SCHOOL,CONDINGUP,PRIMARY SCHOOLS
CONNOLLY PRIMARY SCHOOL,CONNOLLY,PRIMARY SCHOOLS
COODANUP COLLEGE,MANDURAH,SECONDARY SCHOOLS
COOGEE PRIMARY SCHOOL,COOGEE,PRIMARY SCHOOLS
COOINDA PRIMARY SCHOOL,EAST BUNBURY,PRIMARY SCHOOLS
COOLBELLUP COMMUNITY SCHOOL,COOLBELLUP,PRIMARY SCHOOLS
COOLBELLUP LEARNING CENTRE,COOLBELLUP,EDUCATION SUPPORT
COOLBINIA PRIMARY SCHOOL,COOLBINIA,PRIMARY SCHOOLS
COOLGARDIE PRIMARY SCHOOL,COOLGARDIE,PRIMARY SCHOOLS
COOLOONGUP PRIMARY SCHOOL,COOLOONGUP,PRIMARY SCHOOLS
COOROW PRIMARY SCHOOL,COOROW,PRIMARY SCHOOLS
CORNERSTONE CHRISTIAN COLLEGE LTD,BUSSELTON,NON-GOVERNMENT
CORPUS CHRISTI COLLEGE,BATEMAN,NON-GOVERNMENT
CORRIDORS COLLEGE,MIDLAND,
CORRIGIN DISTRICT HIGH SCHOOL,CORRIGIN,DISTRICT HIGH SCHOOLS
COTTESLOE PRIMARY SCHOOL,PEPPERMINT GROVE,PRIMARY SCHOOLS
COWARAMUP PRIMARY SCHOOL,COWARAMUP,PRIMARY SCHOOLS
CRAIGIE HEIGHTS PRIMARY SCHOOL,CRAIGIE,PRIMARY SCHOOLS
CRANBROOK PRIMARY SCHOOL,CRANBROOK,PRIMARY SCHOOLS
CREANEY EDUCATION SUPPORT CENTRE,KINGSLEY,EDUCATION SUPPORT
CREANEY PRIMARY SCHOOL,KINGSLEY,PRIMARY SCHOOLS
CUE PRIMARY SCHOOL,CUE,PRIMARY SCHOOLS
CUNDERDIN DISTRICT HIGH SCHOOL,CUNDERDIN,DISTRICT HIGH SCHOOLS
CURRAMBINE PRIMARY SCHOOL,CURRAMBINE,PRIMARY SCHOOLS
CURTIN PRIMARY SCHOOL,MANNING,PRIMARY SCHOOLS
CYRIL JACKSON SENIOR CAMPUS,BASSENDEAN,SECONDARY SCHOOLS
CYRIL JACKSON SENIOR CAMPUS EDUCATION SUPPORT CENTRE,BASSENDEAN,EDUCATION SUPPORT
DALE CHRISTIAN SCHOOL,ARMADALE,NON-GOVERNMENT
DALKEITH PRIMARY SCHOOL,DALKEITH,PRIMARY SCHOOLS
DALMAIN PRIMARY SCHOOL,KINGSLEY,PRIMARY SCHOOLS
DALWALLINU DISTRICT HIGH SCHOOL,DALWALLINU,DISTRICT HIGH SCHOOLS
DALYELLUP COLLEGE,DALYELLUP,SECONDARY SCHOOLS
DALYELLUP PRIMARY SCHOOL,DALYELLUP,PRIMARY SCHOOLS
DAMPIER PRIMARY SCHOOL,DAMPIER,PRIMARY SCHOOLS
DANDARAGAN PRIMARY SCHOOL,DANDARAGAN,PRIMARY SCHOOLS
DARDANUP PRIMARY SCHOOL,DARDANUP,PRIMARY SCHOOLS
DARKAN PRIMARY SCHOOL,DARKAN,PRIMARY SCHOOLS
DARLING RANGE SPORTS COLLEGE,FORRESTFIELD,SECONDARY SCHOOLS
DARLINGTON PRIMARY SCHOOL,DARLINGTON,PRIMARY SCHOOLS
DAVALLIA PRIMARY SCHOOL,DUNCRAIG,PRIMARY SCHOOLS
DAWSON PARK PRIMARY SCHOOL,FORRESTFIELD,PRIMARY SCHOOLS
DAWUL REMOTE COMMUNITY SCHOOL,KUNUNURRA,PRIMARY SCHOOLS
DEANMORE PRIMARY SCHOOL,KARRINYUP,PRIMARY SCHOOLS
DENMARK PRIMARY SCHOOL,DENMARK,PRIMARY SCHOOLS
DENMARK SENIOR HIGH SCHOOL,DENMARK,SECONDARY SCHOOLS
DERBY DISTRICT HIGH SCHOOL,DERBY,DISTRICT HIGH SCHOOLS
DIANELLA HEIGHTS PRIMARY SCHOOL,DIANELLA,PRIMARY SCHOOLS
DIANELLA PRIMARY COLLEGE,DIANELLA,PRIMARY SCHOOLS
DIANELLA SECONDARY COLLEGE,DIANELLA,SECONDARY SCHOOLS
DIANELLA SECONDARY COLLEGE EDUCATION SUPPORT CENTRE,DIANELLA,EDUCATION SUPPORT
DIVINE MERCY COLLEGE,YANGEBUP,NON-GOVERNMENT
DJIDI DJIDI ABORIGINAL SCHOOL,BUNBURY,PRIMARY SCHOOLS
DJUGERARI REMOTE COMMUNITY SCHOOL,DJUGERARI COMMUNITY,PRIMARY SCHOOLS
DONGARA DISTRICT HIGH SCHOOL,DONGARA,DISTRICT HIGH SCHOOLS
DONNYBROOK DISTRICT HIGH SCHOOL,DONNYBROOK,DISTRICT HIGH SCHOOLS
DOUBLEVIEW PRIMARY SCHOOL,DOUBLEVIEW,PRIMARY SCHOOLS
DOWERIN DISTRICT HIGH SCHOOL,DOWERIN,DISTRICT HIGH SCHOOLS
DRYANDRA PRIMARY SCHOOL,MIRRABOOKA,PRIMARY SCHOOLS
